Date,Tx_out_per_day,Price,Transactions_per_day,Volume of bitcoins sold per day
23-01-2009,1,0,1,0
5/2/2009,1,0,1,0
10/2/2009,1,0,1,0
12/2/2009,1,0,1,0
21-02-2009,1,0,1,0
24-02-2009,1,0,1,0
27-02-2009,1,0,1,0
8/3/2009,1,0,1,0
22-03-2009,1,0,1,0
8/4/2009,1,0,1,0
18-04-2009,1,0,1,0
19-04-2009,1,0,1,0
28-04-2009,1,0,1,0
30-04-2009,1,0,1,0
15-05-2009,1,0,1,0
30-05-2009,1,0,1,0
9/6/2009,1,0,1,0
17-06-2009,1,0,1,0
3/7/2009,1,0,1,0
6/8/2009,1,0,1,0
17-08-2009,1,0,1,0
29-08-2009,1,0,1,0
31-08-2009,1,0,1,0
4/9/2009,1,0,1,0
7/9/2009,1,0,1,0
19-09-2009,1,0,1,0
26-09-2009,1,0,1,0
2/10/2009,1,0,1,0
20-10-2009,1,0,1,0
25-10-2009,1,0,1,0
9/11/2009,1,0,1,0
25-11-2009,1,0,1,0
13-12-2009,1,0,1,0
18-12-2009,1,0,1,0
31-12-2009,1,0,1,0
3/1/2010,1,0,1,0
7/1/2010,1,0,1,0
12/1/2010,1,0,1,0
25-01-2010,1,0,1,0
27-01-2010,1,0,1,0
2/2/2010,1,0,1,0
5/2/2010,1,0,1,0
6/2/2010,1,0,1,0
9/2/2010,1,0,1,0
16-02-2010,1,0,1,0
19-02-2010,1,0,1,0
25-02-2010,3,0,3,0
27-02-2010,1,0,1,0
1/3/2010,1,0,1,0
2/3/2010,1,0,1,0
3/3/2010,1,0,1,0
4/3/2010,1,0,1,0
5/3/2010,1,0,1,0
19-03-2010,1,0,1,0
25-03-2010,1,0,1,0
29-03-2010,1,0,1,0
31-03-2010,1,0,1,0
1/4/2010,1,0,1,0
2/4/2010,1,0,1,0
7/4/2010,2,0,2,0
10/4/2010,1,0,1,0
11/4/2010,1,0,1,0
15-04-2010,2,0,1,0
18-04-2010,6,0,3,0
26-04-2010,1,0,1,0
30-04-2010,1,0,1,0
9/5/2010,1,0,1,0
14-05-2010,1,0,1,0
15-05-2010,2,0,1,0
25-05-2010,1,0,1,0
29-05-2010,1,0,1,0
31-05-2010,1,0,1,0
5/6/2010,1,0,1,0
14-06-2010,1,0,1,0
15-06-2010,2,0,1,0
22-06-2010,1,0,1,0
25-06-2010,2,0,2,0
26-06-2010,1,0,1,0
29-06-2010,1,0,1,0
2/7/2010,1,0,1,0
3/7/2010,1,0,1,0
4/7/2010,1,0,1,0
10/7/2010,1,0,1,0
11/7/2010,2,0,1,0
12/7/2010,3,0,2,0
14-07-2010,10,0,5,0
15-07-2010,3,0,2,0
16-07-2010,1,0,1,0
18-07-2010,1,0,1,0
19-07-2010,1,0,1,0
20-07-2010,1,0,1,0
